exercicio,periodo,periodicidade,instituicao,cod_ibge,uf,co_poder,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,tipo_demonstrativo,municipio_nome,municipio_cod_ibge
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-11>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4029659.6,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-10>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4372890.67,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-9>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),3632520.34,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-8>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),2946668.6,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-7>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4239215.07,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-6>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),2698842.33,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-5>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),1937766.98,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-4>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),5264067.4,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-3>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),3179076.77,2024,RGF,Banabuiú,2301851
2024,1,Q,Prefeitura Municipal de Banabuiú - CE,2301851,CE,E,16447,RGF-Anexo 01,M,Padrão,<MR-2>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4548401.11,2024,RGF,Banabuiú,2301851
